alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99943.3,0.0023625,0.00015,0,0.000327336
0,0,1,99943.3,0.0024,0.00015,0,0.000320071
0,0,1,99943.3,0.0024375,0.00015,0,0.000311162
0,0,1,99943.3,0.002475,0.00015,0,0.000300609
0,0,1,99943.3,0.0025125,0.00015,0,0.000288385
0,0,1,99943.3,0.00255,0.00015,0,0.000274433
0,0,1,99943.3,0.0025875,0.00015,0,0.000258666
0,0,1,99943.3,0.002625,0.00015,0,0.000240989
0,0,1,99943.3,0.0026625,0.00015,0,0.000221337
0,0,1,99943.3,0.0027,0.00015,0,0.000199733
0,0,1,99943.3,0.0027375,0.00015,0,0.000176333
0,0,1,99943.3,0.002775,0.00015,0,0.000151409
0,0,1,99943.3,0.0028125,0.00015,0,0.000125255
0,0,1,99943.3,0.00285,0.00015,0,9.80858e-05
0,0,1,99943.3,0.0028875,0.00015,0,7.01792e-05
0,0,1,99943.3,0.002925,0.00015,0,4.25146e-05
0,0,1,99943.3,0.0029625,0.00015,0,1.76642e-05
0,0,1,99943.3,0.003,0.00015,0,0
0,0,1,99943.3,0,0.0001875,0,0
0,0,1,99943.3,3.75e-05,0.0001875,0,3.13456e-05
0,0,1,99943.3,7.5e-05,0.0001875,0,6.42865e-05
0,0,1,99943.3,0.0001125,0.0001875,0,9.54695e-05
0,0,1,99943.3,0.00015,0.0001875,0,0.000123371
0,0,1,99943.3,0.0001875,0.0001875,0,0.00014801
0,0,1,99943.3,0.000225,0.0001875,0,0.000170133
0,0,1,99943.3,0.0002625,0.0001875,0,0.00019041
0,0,1,99943.3,0.0003,0.0001875,0,0.000209118
0,0,1,99943.3,0.0003375,0.0001875,0,0.000226231
0,0,1,99943.3,0.000375,0.0001875,0,0.00024163
0,0,1,99943.3,0.0004125,0.0001875,0,0.000255233
0,0,1,99943.3,0.00045,0.0001875,0,0.000267036
0,0,1,99943.3,0.0004875,0.0001875,0,0.000277085
0,0,1,99943.3,0.000525,0.0001875,0,0.000285443
0,0,1,99943.3,0.0005625,0.0001875,0,0.000292162
0,0,1,99943.3,0.0006,0.0001875,0,0.000297278
0,0,1,99943.3,0.0006375,0.0001875,0,0.000300806
0,0,1,99943.3,0.000675,0.0001875,0,0.000302749
0,0,1,99943.3,0.0007125,0.0001875,0,0.0003031
0,0,1,99943.3,0.00075,0.0001875,0,0.000301851
0,0,1,99943.3,0.0007875,0.0001875,0,0.000298996
0,0,1,99943.3,0.000825,0.0001875,0,0.000294533
0,0,1,99943.3,0.0008625,0.0001875,0,0.00028847
0,0,1,99943.3,0.0009,0.0001875,0,0.000280824
0,0,1,99943.3,0.0009375,0.0001875,0,0.000271625
0,0,1,99943.3,0.000975,0.0001875,0,0.000260918
0,0,1,99943.3,0.0010125,0.0001875,0,0.000248767
0,0,1,99943.3,0.00105,0.0001875,0,0.000235257
0,0,1,99943.3,0.0010875,0.0001875,0,0.000220502
0,0,1,99943.3,0.001125,0.0001875,0,0.000204654
0,0,1,99943.3,0.0011625,0.0001875,0,0.000187915
0,0,1,99943.3,0.0012,0.0001875,0,0.000170556
0,0,1,99943.3,0.0012375,0.0001875,0,0.000152956
0,0,1,99943.3,0.001275,0.0001875,0,0.000135658
0,0,1,99943.3,0.0013125,0.0001875,0,0.000119462
0,0,1,99943.3,0.00135,0.0001875,0,0.000105548
0,0,1,99943.3,0.0013875,0.0001875,0,9.55384e-05
0,0,1,99943.3,0.001425,0.0001875,0,9.1222e-05
0,0,1,99943.3,0.0014625,0.0001875,0,9.36943e-05
0,0,1,99943.3,0.0015,0.0001875,0,0.000102574
0,0,1,99943.3,0.0015375,0.0001875,0,0.000116345
0,0,1,99943.3,0.001575,0.0001875,0,0.000133317
0,0,1,99943.3,0.0016125,0.0001875,0,0.00015215
0,0,1,99943.3,0.00165,0.0001875,0,0.000171896
0,0,1,99943.3,0.0016875,0.0001875,0,0.0001919
0,0,1,99943.3,0.001725,0.0001875,0,0.000211693
0,0,1,99943.3,0.0017625,0.0001875,0,0.000230927
0,0,1,99943.3,0.0018,0.0001875,0,0.000249334
0,0,1,99943.3,0.0018375,0.0001875,0,0.000266703
0,0,1,99943.3,0.001875,0.0001875,0,0.000282862
0,0,1,99943.3,0.0019125,0.0001875,0,0.000297673
0,0,1,99943.3,0.00195,0.0001875,0,0.000311025
0,0,1,99943.3,0.0019875,0.0001875,0,0.000322829
